,study_hours,attendance,assignment_score,final_marks
0,1.5,62.0,55.0,38.0
1,2.0,58.0,62.0,35.0
2,,70.0,58.0,42.0
3,2.8,65.0,70.0,44.0
4,3.2,,64.0,51.0
5,3.5,74.0,78.0,53.0
6,3.8,68.0,,48.0
7,4.0,79.0,72.0,56.0
8,4.2,88.0,81.0,62.0
9,4.5,71.0,68.0,
10,4.8,85.0,75.0,60.0
11,5.0,90.0,84.0,67.0
12,5.2,73.0,69.0,58.0
13,,86.0,88.0,69.0
14,5.8,78.0,76.0,64.0
15,6.0,92.0,80.0,72.0
16,6.2,80.0,85.0,68.0
17,6.5,84.0,79.0,71.0
18,6.8,89.0,92.0,76.0
19,7.0,,82.0,70.0
20,7.2,91.0,86.0,78.0
21,7.5,83.0,,77.0
22,,95.0,83.0,83.0
23,8.0,87.0,94.0,81.0
24,8.2,94.0,87.0,84.0
25,8.5,88.0,91.0,
26,8.8,96.0,89.0,88.0
27,9.0,92.0,95.0,90.0
28,9.2,85.0,88.0,86.0
29,9.5,97.0,92.0,93.0
30,9.8,90.0,96.0,92.0
31,10.0,98.0,93.0,95.0
32,10.2,,97.0,94.0
33,10.5,99.0,95.0,97.0
34,10.8,93.0,,96.0
35,11.0,96.0,96.0,98.0
